Product_ID,Date,Category,Size,Color,Brand,Material,Price,Units_Sold,Revenue,Stock_Levels,Reorder_Frequency,Customer_Reviews,Discount_Percentage,Supplier_Lead_Time,Shipping_Time,Return_Rate,Website_Traffic,Social_Media_Engagement,Competitor_Pricing
P0000,2021-01-01,T-Shirt,M,Black,Nike,Denim,50.58,32,1618.56,182,11,4.4,20,3,10,10.63,2724,1883,91.16
P0001,2021-01-01,T-Shirt,XL,Blue,Adidas,Denim,34.53,43,1484.79,308,17,3.3,0,3,8,5.62,7680,1525,108.53
P0002,2021-01-01,Jeans,L,Red,Zara,Wool,14.81,50,740.5,102,5,4.5,10,4,5,7.9,4731,1253,108.58
P0003,2021-01-01,T-Shirt,M,Black,Under Armour,Polyester,63.51,53,3366.0299999999997,277,13,4.2,5,5,5,2.24,5054,1396,26.96
P0004,2021-01-01,T-Shirt,L,Black,Adidas,Polyester,61.57,66,4063.62,258,16,3.7,0,11,7,2.87,3897,1096,67.39
P0005,2021-01-01,T-Shirt,M,Red,Puma,Denim,52.6,31,1630.6000000000001,226,9,5.0,0,3,7,9.81,5367,1608,44.88
P0006,2021-01-01,Jacket,M,Blue,Levis,Leather,73.87,47,3471.8900000000003,199,15,3.5,0,6,5,3.02,10000,804,77.16
P0007,2021-01-01,Jacket,XL,Black,Uniqlo,Leather,46.95,53,2488.3500000000004,283,15,4.1,30,12,3,0.0,4874,568,64.3
P0008,2021-01-01,Sweater,S,Blue,Nike,Polyester,28.05,35,981.75,249,12,3.6,20,9,3,1.94,4638,1558,75.4
P0009,2021-01-01,Jeans,M,Yellow,Nike,Cotton,52.23,24,1253.52,246,7,4.0,30,7,3,1.53,6452,988,87.87
P0010,2021-01-01,Shoes,L,White,Zara,Polyester,54.62,43,2348.66,167,13,4.0,50,3,7,2.03,2004,854,95.89
P0011,2021-01-02,Sweater,M,Green,Nike,Wool,20.25,31,627.75,244,15,4.0,20,8,5,4.91,7042,842,60.52
P0012,2021-01-02,T-Shirt,XL,Yellow,Puma,Leather,53.03,50,2651.5,222,12,4.3,0,5,4,3.0,3404,422,54.51
P0013,2021-01-02,Jeans,L,Blue,Zara,Cotton,10.0,60,600.0,188,10,4.6,0,3,3,12.66,4501,523,113.72
P0014,2021-01-02,Jacket,S,Blue,Nike,Polyester,73.44,42,3084.48,290,5,3.7,0,3,5,0.0,5249,909,68.65
P0015,2021-01-02,Shoes,M,Red,Nike,Cotton,32.81,35,1148.3500000000001,197,10,4.6,30,3,3,1.34,4572,1197,109.59
P0016,2021-01-02,Sweater,XL,Red,H&M,Leather,19.75,53,1046.75,239,16,4.1,0,10,8,7.27,1269,372,84.83
P0017,2021-01-02,Shoes,S,Blue,Levis,Denim,36.29,36,1306.44,219,16,5.0,0,3,6,8.79,6897,742,32.78
P0018,2021-01-02,Dresses,L,Black,Nike,Cotton,55.04,32,1761.28,215,8,4.1,10,3,4,5.99,4331,1103,85.61
P0019,2021-01-02,Jeans,L,Red,Zara,Denim,81.75,44,3597.0,342,16,4.1,5,8,5,9.3,6066,1418,33.5
P0020,2021-01-02,Jacket,L,Red,Uniqlo,Cotton,34.52,46,1587.92,386,21,4.0,5,10,5,6.42,3132,819,37.75
P0021,2021-01-02,Jeans,XL,Green,Gucci,Cotton,78.01,26,2028.2600000000002,354,16,3.1,0,5,4,5.35,6161,966,50.19
P0022,2021-01-02,Jacket,L,Red,Adidas,Cotton,59.74,38,2270.12,183,21,3.6,10,7,2,5.25,2864,1528,55.18
P0023,2021-01-03,Jeans,XL,White,Zara,Leather,10.97,43,471.71000000000004,155,10,3.5,0,3,1,5.77,7696,498,92.49
P0024,2021-01-03,Jeans,XL,Green,Adidas,Wool,92.97,61,5671.17,357,14,3.9,50,9,8,0.06,5967,1728,46.88
P0025,2021-01-03,T-Shirt,L,Green,Levis,Leather,53.97,33,1781.01,64,14,4.0,0,11,4,3.3,4516,1462,24.79
P0026,2021-01-03,Jeans,L,Blue,Puma,Polyester,19.9,39,776.0999999999999,241,5,3.7,0,6,5,5.05,6326,939,109.91
P0027,2021-01-03,Jeans,M,White,Nike,Wool,55.17,33,1820.6100000000001,120,19,3.9,10,5,7,8.61,8753,1410,91.37
P0028,2021-01-03,Jacket,XXL,Green,Nike,Cotton,10.0,25,250.0,252,11,4.6,0,7,2,5.91,2632,1366,117.46
P0029,2021-01-03,Jeans,M,White,Puma,Cotton,54.78,43,2355.54,242,24,3.5,30,5,3,8.53,4839,1094,111.79
P0030,2021-01-03,T-Shirt,M,Red,Nike,Polyester,58.02,47,2726.94,244,18,3.0,10,6,3,10.84,4425,274,95.41
P0031,2021-01-03,Sweater,L,Green,Puma,Polyester,69.57,43,2991.5099999999998,252,16,3.5,10,11,8,2.67,4606,1147,74.11
P0032,2021-01-03,T-Shirt,L,Blue,H&M,Denim,69.12,43,2972.1600000000003,135,13,4.1,10,9,6,4.7,7318,811,89.44
P0033,2021-01-03,T-Shirt,L,Blue,Adidas,Cotton,59.13,26,1537.38,305,11,3.5,10,6,7,6.21,4597,1074,76.48
P0034,2021-01-03,T-Shirt,M,Blue,H&M,Cotton,65.79,49,3223.7100000000005,410,17,4.4,10,9,5,8.46,8805,835,99.22
P0035,2021-01-04,Shoes,L,Red,Nike,Cotton,27.52,39,1073.28,145,15,4.1,0,5,5,6.46,6056,1272,63.59
P0036,2021-01-04,Jacket,XL,White,Nike,Wool,25.42,36,915.1200000000001,224,21,4.0,0,5,5,1.73,4517,866,87.76
P0037,2021-01-04,T-Shirt,M,Green,Under Armour,Leather,44.82,32,1434.24,368,8,3.4,20,9,5,4.56,4633,1116,81.44
P0038,2021-01-05,Jacket,M,Red,Nike,Cotton,76.04,35,2661.4,217,14,3.9,10,9,6,4.56,4029,867,87.16
P0039,2021-01-05,Dresses,S,Black,Nike,Polyester,34.22,49,1676.78,356,19,4.1,10,3,9,11.16,3505,345,30.64
P0040,2021-01-05,Jeans,S,Black,Levis,Wool,74.6,45,3356.9999999999995,186,18,4.0,0,8,4,8.54,6491,1723,74.23
